x,float_direct,float_expanded,double_direct,double_expanded,quad_direct,quad_expanded
0.999900000000000000009,-1.00116218e-28,-1.90734863e-06,-9.9999999999922892e-29,-8.8817841970012523e-15,-9.99999999999999386775251242198853415e-29,-1.00000445688407324645396153908425698e-28
0.999900049999999999983,-9.96993145e-29,2.38418579e-06,-9.9650524562438083e-29,-1.7763568394002505e-15,-9.96505245627188039321440796107026306e-29,-9.96522375544621124031636330964063433e-29
0.999900100000000000011,-9.92838974e-29,-9.53674316e-07,-9.9302096503787492e-29,-6.2172489379008766e-15,-9.93020965034978228314139076771659321e-29,-9.92978664446948610062013331549707167e-29
0.999900149999999999985,-9.8869973e-29,-9.53674316e-07,-9.8954713205289011e-29,-3.5527136788005009e-15,-9.89547132052029130647917093787970522e-29,-9.89558212865716879186985914723676336e-29
0.999900200000000000014,-9.8457523e-29,-2.38418579e-06,-9.8608372055816911e-29,0,-9.86083720559327505735221225738939904e-29,-9.86014501768044365217362915309320069e-29
0.999900249999999999988,-9.8457523e-29,-2.38418579e-06,-9.8263070448696933e-29,0,-9.82630704490139273080410999319126957e-29,-9.8256323530770243856868660283620788e-29
0.999900300000000000016,-9.80465476e-29,0,-9.7918805783236814e-29,1.7763568394002505e-15,-9.79188057829900997217379694634284506e-29,-9.79204413484691099240956977304339766e-29
0.99990034999999999999,-9.76370528e-29,4.76837158e-07,-9.7575575461662859e-29,-1.7763568394002505e-15,-9.75755754616171441949493657273479166e-29,-9.75753147024349172592280664831227577e-29
0.999900400000000000018,-9.72290144e-29,9.53674316e-07,-9.7233376893698612e-29,5.3290705182007514e-15,-9.72333768938523392539577329504959215e-29,-9.72332695443117441717253248005196746e-29
0.999900449999999999993,-9.68224386e-29,-4.76837158e-07,-9.6892207493497142e-29,8.8817841970012523e-16,-9.68922074938495187360817580286585503e-29,-9.68850614103665319294928039885003197e-29
0.999900500000000000021,-9.64173252e-29,1.90734863e-06,-9.6552064681153003e-29,0,-9.65520646809482876280857512919561113e-29,-9.65522607159764175740847310000216443e-29
0.999900549999999999995,-9.60136624e-29,0,-9.6212945879675405e-29,0,-9.62129458796691730465116344068357702e-29,-9.62132970457642640639468788821266971e-29
0.999900600000000000023,-9.60136624e-29,0,-9.5874848519512177e-29,-4.4408920985006262e-15,-9.58748485197028735900343860707698081e-29,-9.58743333755521105538090267642317499e-29
0.999900649999999999997,-9.5611456e-29,2.38418579e-06,-9.5537770036265951e-29,1.7763568394002505e-15,-9.55377700359054082088204283147803915e-29,-9.55384511932509766210360642110449385e-29
0.999900700000000000026,-9.5210688e-29,9.53674316e-07,-9.5201707868451115e-29,1.7763568394002505e-15,-9.52017078682873989657239919430841035e-29,-9.52025690109498426882631016578581272e-29
0.99990075,-9.48113645e-29,-2.38418579e-06,-9.4866659461976897e-29,4.4408920985006262e-15,-9.48666594620092178680976187349878635e-29,-9.48728498044707479102199182340875877e-29
0.999900800000000000028,-9.44134734e-29,0,-9.4532622267143579e-29,-2.6645352591003757e-15,-9.45326222673703029330828864583487928e-29,-9.45277231584365552453522869867763687e-29
0.999900850000000000002,-9.40170207e-29,2.38418579e-06,-9.4199593740122279e-29,0,-9.41995937398043030549406999003584166e-29,-9.4201085439868480044673993127713965e-29
0.999900900000000000031,-9.40170207e-29,2.38418579e-06,-9.3867571339992086e-29,-8.8817841970012523e-16,-9.386757133986842727004731995237828e-29,-9.38682847454783656892659201392352896e-29
0.999900950000000000005,-9.36219944e-29,-9.53674316e-07,-9.353655253316871e-29,-8.8817841970012523e-16,-9.35365525332385877324551510880463818e-29,-9.35354840510882513338578471507566141e-29
0.999901000000000000033,-9.32283825e-29,-2.38418579e-06,-9.3206534790436926e-29,-5.3290705182007514e-15,-9.32065347906987820745614455132733373e-29,-9.32119278204311957105444428564023463e-29
0.999901050000000000007,-9.28361969e-29,1.90734863e-06,-9.287751558841265e-29,8.8817841970012523e-16,-9.28775155881362345632544064862630132e-29,-9.28822086139521009325012594326318068e-29
0.999901100000000000035,-9.24454318e-29,-1.90734863e-06,-9.2549492406615333e-29,-2.6645352591003757e-15,-9.25494924065308114525772890201167475e-29,-9.25463264316509669997282968794449955e-29
0.99990115000000000001,-9.20560629e-29,4.76837158e-07,-9.2222462731843611e-29,0,-9.22224627319501603924598251339470846e-29,-9.22227702009939113764148925850907277e-29
