x,direct_f,expand_f,horner_f,direct_d,expand_d,horner_d,direct_q,expand_q,horner_q
0.69999999999999996,5.90490208e-06,3.81469727e-06,6.49690628e-06,5.9049000000000085e-06,5.9049000000754859e-06,5.9048999951905046e-06,5.90490000000000874100791747878829693e-06,5.90490000000000874100791747886917903e-06,5.90490000000000874100791747780991756e-06
0.70009999999999994,5.88524472e-06,5.24520874e-06,3.15904617e-06,5.8852464982713139e-06,5.8852464999148424e-06,5.8852464986935971e-06,5.88524649827131375419582460105354591e-06,5.88524649827131375419582459869271906e-06,5.88524649827131375419582460398902641e-06
0.70019999999999993,5.86564784e-06,6.19888306e-06,5.1856041e-06,5.8656518882927604e-06,5.8656518824307113e-06,5.8656518868716034e-06,5.86565188829276115191999547745638174e-06,5.86565188829276115191999548118399335e-06,5.86565188829276115191999547877658092e-06
0.70029999999999992,5.84612008e-06,4.29153442e-06,6.02006912e-06,5.8461160131505569e-06,5.8461160046263672e-06,5.8461160108436161e-06,5.84611601315055731218714230898378852e-06,5.84611601315055731218714230854820321e-06,5.84611601315055731218714231047413315e-06
0.70039999999999991,5.82663961e-06,5.7220459e-06,4.17232513e-06,5.8266387162968568e-06,5.8266387252814411e-06,5.8266387157335231e-06,5.82663871629685759984386938190147907e-06,5.82663871629685759984386937672556219e-06,5.82663871629685759984386938077001507e-06
0.7004999999999999,5.80721735e-06,6.67572021e-06,9.65595245e-06,5.8072198415490353e-06,5.8072198392267182e-06,5.8072198401148967e-06,5.80721984154903459093857396799346668e-06,5.80721984154903459093857397456270437e-06,5.80721984154903459093857397427381487e-06
0.7006,5.78785375e-06,3.81469727e-06,5.1856041e-06,5.7878592330889274e-06,5.7878592301108256e-06,5.7878592299998033e-06,5.7878592330889260546056587361549869e-06,5.78785923308892605460565873831082518e-06,5.78785923308892605460565872945154743e-06
0.70069999999999999,5.76855882e-06,5.7220459e-06,8.22544098e-06,5.7685567354621933e-06,5.7685567345089339e-06,5.7685567391718706e-06,5.76855673546219152911398512290131397e-06,5.76855673546219152911398512333320088e-06,5.76855673546219152911398512159986393e-06
0.70079999999999998,5.74931209e-06,9.05990601e-06,5.12599945e-06,5.7493121935774552e-06,5.7493121898843924e-06,5.7493121909946154e-06,5.74931219357745523353444456962468876e-06,5.74931219357745523353444456717913815e-06,5.74931219357745523353444456977914358e-06
0.70089999999999997,5.73012221e-06,8.10623169e-06,4.11272049e-06,5.7301254527056657e-06,5.7301254487995834e-06,5.7301254499098064e-06,5.73012545270566520452043026208137636e-06,5.73012545270566520452043026270922185e-06,5.73012545270566520452043026280551835e-06
0.70099999999999996,5.71100099e-06,6.19888306e-06,7.92741776e-06,5.7109963584793467e-06,5.7109963638168892e-06,5.7109963652601792e-06,5.71099635847934607664908490569298562e-06,5.71099635847934607664908490300961047e-06,5.71099635847934607664908490137257001e-06
0.70109999999999995,5.69192616e-06,9.53674316e-06,7.03334808e-06,5.6919247568918733e-06,5.6919247626296965e-06,5.6919247539699569e-06,5.691924756891874601380208229226065e-06,5.69192475689187460138020822551788138e-06,5.69192475689187460138020823341419415e-06
0.70119999999999993,5.67290908e-06,6.67572021e-06,7.4505806e-06,5.6729104942967568e-06,5.6729104942476738e-06,5.6729104940256292e-06,5.67291049429675637610493299135964245e-06,5.67291049429675637610493298687571557e-06,5.67291049429675637610493299409795287e-06
0.70129999999999992,5.65394839e-06,7.62939453e-06,3.93390656e-06,5.6539534174069048e-06,5.6539534218913445e-06,5.6539534206700992e-06,5.65395341740690378166667322060150858e-06,5.65395341740690378166667322820300957e-06,5.65395341740690378166667322175114426e-06
0.70139999999999991,5.63505682e-06,9.53674316e-06,3.21865082e-06,5.6350533732939151e-06,5.6350533732540953e-06,5.6350533740312514e-06,5.63505337329391512673847051087893614e-06,5.63505337329391512673847050530896343e-06,5.63505337329391512673847051262749722e-06
0.7014999999999999,5.61621027e-06,3.33786011e-06,8.46385956e-06,5.6162102093873564e-06,5.6162102115564494e-06,5.6162102127776947e-06,5.6162102093873549974424852021647608e-06,5.61621020938735499744248519723512908e-06,5.61621020938735499744248520561292434e-06
0.7016,5.59742193e-06,6.19888306e-06,6.37769699e-06,5.5974237734740137e-06,5.5974237778144698e-06,5.5974237705980201e-06,5.59742377347401498489942850407206888e-06,5.59742377347401498489942850664963265e-06,5.59742377347401498489942850202740079e-06
0.70169999999999999,5.57869953e-06,1.00135803e-05,7.80820847e-06,5.5786939136972808e-06,5.5786939192614682e-06,5.5786939110458178e-06,5.57869391369727980602230916212026122e-06,5.57869391369727980602230916440292064e-06,5.57869391369727980602230915756586934e-06
0.70179999999999998,5.5600226e-06,3.81469727e-06,5.1856041e-06,5.5600204785562864e-06,5.5600204804662212e-06,5.5600204734718162e-06,5.56002047855628611664371590373070405e-06,5.56002047855628611664371589931991497e-06,5.5600204785562861166437159050977048e-06
0.70189999999999997,5.54140206e-06,2.86102295e-06,7.92741776e-06,5.5414033169052925e-06,5.5414033166556464e-06,5.5414033161005349e-06,5.54140331690529115731231174295897577e-06,5.54140331690529115731231174058171698e-06,5.54140331690529115731231174443357687e-06
0.70199999999999996,5.52283882e-06,3.81469727e-06,5.30481339e-06,5.5228422779529398e-06,5.5228422830566615e-06,5.5228422793929255e-06,5.52284227795293821636997973467371045e-06,5.52284227795293821636997973870328084e-06,5.52284227795293821636997973581438593e-06
0.70209999999999995,5.50434197e-06,5.7220459e-06,3.57627869e-06,5.5043372112615455e-06,5.504337211803545e-06,5.5043372108043442e-06,5.5043372112615441772155066801679089e-06,5.50433721126154417721550668448294442e-06,5.50433721126154417721550668082367753e-06
0.70219999999999994,5.48588923e-06,9.05990601e-06,6.43730164e-06,5.4858879667463868e-06,5.485887963452285e-06,5.4858879618979728e-06,5.48588796674638825955593667082084517e-06,5.48588796674638825955593666957918665e-06,5.48588796674638825955593667449030801e-06
