x,rel_direct_f,rel_expand_f,rel_horner_f,rel_direct_d,rel_expand_d,rel_horner_d,rel_direct_q,rel_expand_q,rel_horner_q
0.69999999999999996,3.52582718236302463036460111873641854e-07,0.353977668440618070904895091985356211,0.100256783437072347990100546462440237,4.66412614751617151989716810850372089e-17,1.27821193334266792328869270784520064e-11,8.14493754661167902663337363538484229e-10,0,1.36974534471769486435532062784728121e-29,1.65689406518779824741063741398011837e-28
0.70009999999999994,3.02458424096079629896422630199481802e-07,0.108752922791753656540458003180689437,0.463226192135942543143684933733824306,1.9301656794798064712054548091169593e-17,2.79262497300900718972346403476386557e-10,7.17528666598746822843264170212183189e-11,0,4.01143241046987428962357823387598637e-28,4.9878632836367267928232172369778968e-28
0.70019999999999993,6.90870001688091861855240247119434604e-07,0.0568105940642265255957689228922702152,0.115937291503964348780462535657427803,1.28409765042600946894189484680932934e-16,9.99385903638196645976223646781739738e-10,2.42284701065266811462105973962761662e-10,0,6.35498266220064036626187779078770195e-28,2.25072881909584783713518222547479587e-28
0.70029999999999992,6.94819859577485133756398431854958248e-07,0.265916992722257933148886909025858885,0.0297553296534992882217003081720590858,6.81061427950222553465905050951886175e-17,1.45809459400766561066416990972587473e-09,3.94610919733074819573304054968556753e-10,0,7.4508495587347994129622569370403084e-29,2.54929021570188548575167860272884436e-28
0.70039999999999991,1.53061477829224545488950978341531375e-07,0.0179507985567761378375161339177488721,0.28392245728098260050652218098169188,1.44027535659856788055261737061250674e-16,1.54198397204873227883040425373314401e-09,9.66825862657948761080224781016959192e-11,0,8.88319516807642382289806836245799668e-28,1.94188117875864661552470708972930871e-28
0.7004999999999999,4.29254389052940115204885881212549221e-07,0.149555277222473656410845731455087824,0.662749597411077967308544718711823445,1.147983576715399040266892943389195e-16,3.99901571570593659372024721732546097e-10,2.46957745792644471944951306436249113e-10,0,1.13121904615041727420861279481766171e-27,1.08147243769740817292361506133724542e-27
0.7006,9.47027626697697111868830137306710166e-07,0.340913952465092704830286420267995065,0.104054904132235395628670602551805763,2.2664506083897739136665227199759526e-16,5.14542655972153270497341110488187559e-10,5.33724584556007942972177621435743974e-10,0,3.72475933758722925068697654116400803e-28,1.15818979037174658669568119339686154e-27
0.70069999999999999,3.61661698818882878378806913990323485e-07,0.00806282041723993927510007160078629145,0.425909695650217587292043647073869719,3.0063681307565835811324310345492267e-16,1.65250626568132680302647114338000701e-10,6.4308617538447064227621467110858354e-10,0,7.48691448959241693027233134874584886e-29,2.25611032284760675810583566482239526e-28
0.70079999999999998,1.71721678015180471672000220606694548e-08,0.575824324861011595527062745361818815,0.108415184618111860425477657229497248,3.56854313715459394261899047125444014e-18,6.42348632178642802113416214403768796e-10,4.49243268050846022147451192835244411e-10,0,4.25364030978248876724483725597901454e-28,2.68649204826283195208050164413863578e-29
0.70089999999999997,5.65662383547165571400456961108788155e-07,0.414669147535941627875428759220580143,0.282263447206029615269083938336617431,8.32541224550075576307497354145807586e-17,6.81674742909317841759691497397199841e-10,4.8792278515751528566960327050714815e-10,0,1.09569240141704418030342859560955611e-28,1.26374543623130338255474882800906005e-28
0.70099999999999996,8.11819782829860989908606418001339155e-07,0.0854293484948373171978176595851172695,0.388097147594359261416439891584813424,1.09374526847916886158561210281357754e-16,9.34608049338334518199777743824519575e-10,1.18732926318918785824761257129257881e-09,0,4.69861122169832290034377560713663078e-28,7.56508206141190571193521291911036269e-28
0.70109999999999995,2.46930005466490772990095729463972723e-07,0.675486513154492609030972561349935849,0.235671303451438299160342263995577682,2.32046262427028321950508375757109982e-16,1.00806355175724093455266842665778555e-09,5.13344401078198112110748353236770729e-10,0,6.51481490138700507668315797973774924e-28,7.35801917363600663205071224263684095e-28
0.70119999999999993,2.48790209699670359158042671137388473e-07,0.176771645093848277998039790024678672,0.313361211042241381694240837081114592,7.72342327134342089712324741464020001e-17,8.65209844241341160313192875085625277e-12,4.77933126653882300025088228994776489e-11,0,7.90410298054123101613075861631437387e-28,4.82699386773971602414919421204659693e-28
0.70129999999999992,8.88806394219518140907584565746636633e-07,0.349391119453032389663060350126299482,0.30422020403203017407998450696612682,1.75960417283630426673348105706436354e-16,7.93151343881001522336134953994946394e-10,5.77152866898894190384670895463537534e-10,0,1.3444576620405997546167921933672423e-27,2.03333065252484371749713242253503551e-28
0.70139999999999991,6.12176129265129890722907579093944805e-07,0.692396244063947598644019688245045069,0.428816267628417685457643355217297294,2.8533884356097096897353244279319599e-18,7.06645477274325825440171604878421003e-12,1.30848142615236866548254497444713314e-10,0,9.88450747229750541730669766401843694e-28,3.10300711515265597447237059816254656e-28
0.7014999999999999,1.14564058995310729851310021169003363e-08,0.405673936163798631586667891059611543,0.507041090441796327048092133384556378,2.51782962334322846240412543643410437e-16,3.86220300870787057527382777203488182e-10,6.03670375130185531105311014233247743e-10,0,8.77750571471363361771090550734520258e-28,6.13966252817229072952765096170422575e-28
0.7016,3.28953885908905040202217455553822402e-07,0.107452876092195019457271582151685778,0.139398632133316029633923647021445949,2.21551300710702251940860176280332718e-16,7.75437942409440634387531031166948115e-10,5.1380688737493383952845333649572679e-10,0,4.60491088884963852225904095685064378e-28,3.65287350195163071193211317737920278e-28
0.70169999999999999,1.00656160278202676585508587692837779e-06,0.794968585331315282184050844006744388,0.399648123085727987893515836695735234,1.77977131064068669501079186990052735e-16,9.9739983256995541169295491343974642e-10,4.75283650217010309744883042329439131e-10,0,4.09174522638462975861373351567307302e-28,8.16390351209120287458727544475569361e-28
0.70179999999999998,3.81651799864236571060586086031066116e-07,0.313905896509301422123825573414782431,0.0673408280673316206995753888607198945,5.69433913661978717736702181228418847e-17,3.43512241760223946061199027383021197e-10,9.14469645557329985035107418010361417e-10,0,7.93304467582922013173377344562322288e-28,2.45862538266302375409853190568087829e-28
0.70189999999999997,2.26681556697345829501368874715241491e-07,0.483700646641156923709796479944989084,0.430579458265127690554105586819092738,2.3687038582090391887091667819570268e-16,4.5050809997590540731543284818284145e-11,1.45226068964770632209901369785762579e-10,0,4.28999417725323346703073842470029297e-28,2.66106076044370504832320127846427462e-28
0.70199999999999996,6.26270304220383899083561569557614406e-07,0.309287306491951539425731853240295086,0.0394776605903701095139083584122853384,2.92956998214885336701361062012050734e-16,9.24111716186016125321495325878726138e-10,2.60733007022336407312099776482723798e-10,0,7.29618951121195323921036482768488876e-28,2.06537760098729026827770202526695367e-28
0.70209999999999995,8.64663953327365179845375319160475935e-07,0.0395522074357175812994829105699758491,0.350279870352676511687823180893765113,2.43584489506486681326781945745073338e-16,9.84679466859970435715224789112738059e-11,8.3061760490797297722249314904844198e-11,0,7.83933715197691359386783530556617392e-28,1.19136709874487817917970709660633098e-28
0.70219999999999994,2.30758058893384380878803402571015536e-07,0.651493078381746878634300539778511863,0.173429292534399097977003015105784752,2.59574685701099069125654176668664993e-16,6.00468558321815407413708086313060733e-10,8.83797755690944759058830510141139796e-10,0,2.26336835030677936349638346057260683e-28,6.68891319090773482556819102157700552e-28
0.70229999999999992,4.42770132573096592884522014044684602e-07,0.482622770925579431695586672088756698,0.210081820387789094986839122072441125,1.22481801436737650404569669359174135e-16,3.85461935010138614591615084551665542e-10,2.63626635933496368028442349270533906e-10,0,1.13581263732981648274835712669665459e-27,4.49316514001983870584667020072228803e-28
0.70239999999999991,9.61982056763925672334999589468887464e-07,0.299947180143086406804497972909212143,0.464022059797050530209693760508615541,7.54107773927044521317494421679254103e-17,6.44927291152994750664624655812664371e-10,2.37442919555515657080216820608749989e-10,0,1.42503567902039621219554596753361645e-27,3.77489720014303629531995477924517787e-28
0.7024999999999999,5.44284881859300710162592713734830808e-07,0.756023752776716876455461478902488115,0.21824147848884733304097640098860111,1.85954353597727523097344341400763215e-16,6.38582373011864107551172148028345708e-10,2.81343943406730799492513133511595054e-10,0,6.11206482363420010225507645311418634e-28,6.11206482363420010225507645311418634e-28
0.7026,9.12239761377543997585565422533113892e-08,0.938131008754435530183068934806840072,0.0859950356442150624704845364263197514,1.48085261116049560088731844137118681e-16,1.30090447990249660613121108186614977e-09,4.96938569259988660997454793437594202e-11,0,2.71032491486470710537071154990918034e-28,5.47354428916555806987729791953489947e-28
0.70269999999999999,5.43241810137915121404792929551625719e-07,0.292850911361983831779065250988020336,0.248560109626497297015087916224276643,1.9161188593266470061524990275843686e-16,4.04022429754815398024707702865646442e-10,2.133999857458218927018257614755274e-10,0,4.8569103812578267368745417338538344e-28,5.49664215345370574993109811942010661e-28
0.70279999999999998,7.81162405023624925894859517391554937e-07,0.773830164116158518984056820538269939,0.0975574140468730836213851577080544977,6.92136732627220899923694656290959509e-17,7.3301705148446933640428141969745237e-10,7.22138213343663190949522003344670503e-11,0,9.61878479015796187673283619879755891e-28,1.37967536644488640693205348407552641e-28
0.70289999999999997,1.23025194683309841542597259743098476e-07,0.0211046665128351758973294558527125095,0.443809469609565440850755372643586672,2.49679438269727586712216430237199368e-17,3.64500415285404779536861568649894922e-10,5.30258110242194558946402647264014592e-10,0,5.79452064442805640041052637960927825e-28,2.83179229853231260065834803762458994e-28
0.70299999999999996,3.81316786422109929269194787287241963e-07,0.553547147403730943926303673250215452,0.218707507956529151871031428187877065,1.09729002684434239373859186475629626e-16,4.51662388175999762965703951467364564e-10,9.09033170312819983988468134512508751e-10,0,2.21465924889623398881734157347730628e-28,1.75239991609684463133692957877675866e-28
0.70309999999999995,1.04444424113460159343639043960980061e-06,0.0751012359833307897292526546765101546,0.36165864113489734359825623628582208,6.45355767958018559380488565167198477e-17,7.1063850550339081885472943109901272e-10,1.44072833440734408503973623527495643e-09,0,2.09529916731062217319352273236026797e-28,1.37158261544114893000185149496970247e-28
0.70319999999999994,6.45847817378933191471241856986331029e-07,0.640423652762600019792484519107324362,0.146149606819212436911455595345403651,9.66858657589316775245049279348077085e-17,3.06170932658610517092650119930016572e-10,4.94541815491090635578495240555708121e-10,0,7.42581180928977191114889807957549574e-28,7.82351984724261729669821327204070412e-28
0.70329999999999993,1.62010717367265096979353480635760443e-07,0.0980247351993423102534107684725586324,0.27404006153092898676705728953251093,5.19533609939898754108533575860489459e-17,3.8895963302735575931531236759422672e-10,1.99952899710289793751338418216173712e-10,0,1.88294707352773781013760276635507936e-28,6.4367584263444331793473237566971696e-28
0.70339999999999991,3.58543219038665048820934865893478875e-07,0.0860251187107826990216806326000696415,0.0181485487913587803328255930625652927,9.47711451623623448302223209429640369e-17,1.80731318906441213236884591944504678e-10,1.14271929742877446330690860757323757e-10,0,3.02575402742331405395081632446394591e-28,2.11191641863510621883898430343431931e-28
0.7034999999999999,9.56200807100016105431959845564080931e-07,0.273537667077639676059359239780104886,0.0442896035758929656646710928160992541,7.79467426738660097644772986044670413e-17,3.0111935282448725327104543348975636e-10,2.79976516253911643353157924847016097e-10,0,1.16192867620998651906101380840192881e-27,1.16634890200009909024739750836122218e-28
0.7036,3.49548118582013234485934965361656093e-07,0.00226088860446696723042423022099962545,0.316640303224227067797438024849318419,1.09210897535481516004526908690945143e-16,1.63397458499606175813851782160703434e-09,1.26810412062012957496061760455409141e-10,0,1.12209740226764791111091884238589842e-28,4.250174281740823948122138636927745e-28
0.70369999999999999,7.77515932191732630243201827243317236e-08,0.177196584709013075536229591689754417,0.29147483683276125948953103728839965,2.80471626601967803155951601606786739e-16,4.10537084210231046694584460191252171e-10,1.55105285833160804632444698150327392e-10,0,1.20718066105543367867539001422645371e-27,7.10858125880510274014377730063784342e-30
