2016.500000 3803.569611
2016.531250 3574.896757
2016.562500 3363.246685
2016.593750 3167.670604
2016.625000 2987.259214
2016.656250 2821.141497
2016.687500 2668.483526
2016.718750 2528.487308
2016.750000 2400.389648
2016.781250 2283.461037
2016.812500 2177.004573
2016.843750 2080.354894
2016.875000 1992.877144
2016.906250 1913.965963
2016.937500 1843.044493
2016.968750 1779.563413
2017.000000 1723.000000
2017.031250 1672.857200
2017.062500 1628.662736
2017.093750 1589.968227
2017.125000 1556.348331
2017.156250 1527.399915
2017.187500 1502.741234
2017.218750 1482.011145
2017.250000 1464.868327
2017.281250 1450.990530
2017.312500 1440.073840
2017.343750 1431.831964
2017.375000 1425.995536
2017.406250 1422.311433
2017.437500 1420.542123
2017.468750 1420.465020
2017.500000 1421.871857
2017.531250 1424.568085
2017.562500 1428.372281
2017.593750 1433.115576
2017.625000 1438.641094
2017.656250 1444.803422
2017.687500 1451.468075
2017.718750 1458.510993
2017.750000 1465.818050
2017.781250 1473.284568
2017.812500 1480.814863
2017.843750 1488.321789
2017.875000 1495.726305
2017.906250 1502.957056
2017.937500 1509.949967
2017.968750 1516.647844
2018.000000 1523.000000
2018.031250 1528.961882
2018.062500 1534.494721
2018.093750 1539.565186
2018.125000 1544.145055
2018.156250 1548.210897
2018.187500 1551.743764
2018.218750 1554.728897
2018.250000 1557.155440
2018.281250 1559.016171
2018.312500 1560.307233
2018.343750 1561.027885
2018.375000 1561.180263
2018.406250 1560.769142
2018.437500 1559.801718
2018.468750 1558.287395
2018.500000 1556.237579
2018.531250 1553.665486
2018.562500 1550.585956
2018.593750 1547.015275
2018.625000 1542.971007
2018.656250 1538.471835
2018.687500 1533.537408
2018.718750 1528.188195
2018.750000 1522.445350
2018.781250 1516.330581
2018.812500 1509.866031
2018.843750 1503.074156
2018.875000 1495.977623
2018.906250 1488.599206
2018.937500 1480.961686
2018.968750 1473.087770
2019.000000 1465.000000
2019.031250 1456.720678
2019.062500 1448.271796
2019.093750 1439.674967
2019.125000 1430.951363
2019.156250 1422.121665
2019.187500 1413.206003
2019.218750 1404.223916
2019.250000 1395.194308
2019.281250 1386.135413
2019.312500 1377.064756
2019.343750 1367.999132
2019.375000 1358.954574
2019.406250 1349.946338
2019.437500 1340.988881
2019.468750 1332.095847
2019.500000 1323.280060
2019.531250 1314.553512
2019.562500 1305.927363
2019.593750 1297.411935
2019.625000 1289.016716
2019.656250 1280.750365
2019.687500 1272.620712
2019.718750 1264.634777
2019.750000 1256.798770
2019.781250 1249.118112
2019.812500 1241.597446
2019.843750 1234.240656
2019.875000 1227.050882
2019.906250 1220.030544
2019.937500 1213.181365
2019.968750 1206.504386
2020.000000 1200.000000
2020.031250 1193.667971
2020.062500 1187.507462
2020.093750 1181.517065
2020.125000 1175.694826
2020.156250 1170.038276
2020.187500 1164.544458
2020.218750 1159.209962
2020.250000 1154.030952
2020.281250 1149.003195
2020.312500 1144.122100
2020.343750 1139.382740
2020.375000 1134.779892
2020.406250 1130.308062
2020.437500 1125.961521
2020.468750 1121.734334
2020.500000 1117.620392
2020.531250 1113.613443
2020.562500 1109.707124
2020.593750 1105.894986
2020.625000 1102.170530
2020.656250 1098.527234
2020.687500 1094.958577
2020.718750 1091.458075
2020.750000 1088.019302
2020.781250 1084.635917
2020.812500 1081.301692
2020.843750 1078.010535
2020.875000 1074.756515
2020.906250 1071.533882
2020.937500 1068.337091
2020.968750 1065.160822
2021.000000 1062.000000
2021.031250 1058.849814
